iter	RMSE
0	8.335666877
1	8.22686825
2	8.122929767
3	8.035978659
4	7.949110719
5	7.863427203
6	7.789100993
7	7.714758303
8	7.644247173
9	7.590011287
10	7.535069219
11	7.496569413
12	7.445487519
13	7.404217586
14	7.369105035
15	7.331672388
16	7.296185221
17	7.258043121
18	7.228216228
19	7.187487331
20	7.16078379
21	7.131300629
22	7.107445462
23	7.077037957
24	7.066148852
25	7.044070133
26	7.024915805
27	7.004995936
28	6.991007134
29	6.985920611
30	6.961794864
31	6.943747623
32	6.928030353
33	6.909829647
34	6.894051853
35	6.87669352
36	6.866259373
37	6.850163244
38	6.838476592
39	6.829844976
40	6.813844446
41	6.808725466
42	6.80031291
43	6.788143972
44	6.76631642
45	6.750334167
46	6.736373776
47	6.729386571
48	6.719241393
49	6.705550236
50	6.69389885
51	6.68173872
52	6.668625265
53	6.659329713
54	6.649812267
55	6.634463403
56	6.622564583
57	6.615273412
58	6.607732471
59	6.593637686
60	6.581029184
61	6.570888735
62	6.554721181
63	6.545403962
64	6.537923066
65	6.529905172
66	6.522299841
67	6.50782689
68	6.50202216
69	6.486680222
70	6.480495183
71	6.467368992
72	6.458019003
73	6.452965187
74	6.446197259
75	6.425576567
76	6.419174349
77	6.415147136
78	6.402852677
79	6.389064602
80	6.380180381
81	6.371965395
82	6.356966459
83	6.345818234
84	6.338034193
85	6.33001692
86	6.320156483
87	6.30879459
88	6.304272292
89	6.292368957
90	6.277486946
91	6.266031
92	6.250946168
93	6.246832645
94	6.237499898
95	6.229349018
96	6.218453288
97	6.209059527
98	6.200083378
99	6.189602565
100	6.182752923
101	6.171138187
102	6.160177209
103	6.146060396
104	6.141439686
105	6.135187722
106	6.127652875
107	6.112912489
108	6.102680884
109	6.09240515
110	6.084254065
111	6.07194298
112	6.063822653
113	6.058398838
114	6.048715449
115	6.042596758
116	6.03734576
117	6.031011234
118	6.024186337
119	6.015819649
120	6.004573911
121	5.998448516
122	5.98591769
123	5.978748089
124	5.965722478
125	5.959817247
126	5.954678055
127	5.944880309
128	5.933139654
129	5.91911988
130	5.911722688
131	5.899717702
132	5.891292127
133	5.884277805
134	5.875248317
135	5.86378728
136	5.856973016
137	5.849643631
138	5.845152593
139	5.835704922
140	5.827170644
141	5.81030343
142	5.806289203
143	5.796866764
144	5.791097329
145	5.786889146
146	5.78019994
147	5.775395936
148	5.770219208
149	5.759570053
150	5.7521186
151	5.739959075
152	5.73248734
153	5.72219326
154	5.712471149
155	5.706613435
156	5.699148436
157	5.689082713
158	5.68053487
159	5.67703664
160	5.662609853
161	5.654285797
162	5.648520403
163	5.644892021
164	5.642547625
165	5.635238333
166	5.629654641
167	5.623392721
168	5.613789172
169	5.606106046
170	5.592722525
171	5.585925682
172	5.580994886
173	5.578910851
174	5.562410016
175	5.551526895
176	5.544896177
177	5.538941926
178	5.533843919
179	5.522563488
180	5.520394354
181	5.511643601
182	5.504834073
183	5.500624522
184	5.49045119
185	5.482614225
186	5.479334011
187	5.474889368
188	5.471529827
189	5.46761173
190	5.459638193
191	5.453875935
192	5.441703446
193	5.43499882
194	5.432245341
195	5.431252407
196	5.422475467
197	5.416229636
198	5.40066151
199	5.391839277
