iter	Passed	Remaining
0	1	307
1	2	275
2	3	261
3	5	269
4	7	274
5	8	273
6	9	270
7	11	267
8	12	264
9	13	261
10	15	269
11	17	273
12	19	274
13	20	274
14	22	273
15	23	271
16	25	269
17	26	267
18	27	264
19	29	265
20	31	264
21	32	263
22	33	260
23	35	259
24	36	258
25	38	256
26	39	254
27	41	252
28	42	250
29	44	249
30	45	248
31	47	247
32	48	245
33	49	243
34	51	241
35	52	240
36	54	239
37	55	237
38	57	235
39	58	234
40	60	232
41	61	230
42	62	229
43	64	227
44	65	225
45	67	225
46	68	224
47	70	222
48	71	220
49	73	219
50	74	218
51	76	217
52	77	215
53	79	213
54	80	211
55	81	210
56	83	208
57	84	207
58	86	206
59	87	204
60	89	203
61	90	201
62	91	199
63	93	198
64	94	196
65	96	194
66	97	193
67	98	192
68	100	190
69	101	188
70	103	187
71	104	186
72	106	184
73	107	183
74	108	181
75	110	179
76	111	178
77	112	176
78	114	174
79	115	173
80	117	172
81	118	170
82	120	169
83	121	167
84	122	166
85	124	164
86	125	163
87	126	161
88	128	160
89	129	158
90	131	157
91	132	155
92	134	154
93	135	153
94	137	151
95	138	150
96	139	148
97	141	147
98	142	145
99	144	144
100	145	142
101	147	141
102	148	140
103	150	138
104	151	137
105	153	135
106	154	134
107	155	132
108	157	131
109	158	129
110	160	128
111	161	126
112	163	125
113	164	124
114	166	122
115	167	121
116	169	119
117	170	118
118	171	116
119	173	115
120	174	113
121	175	112
122	177	111
123	179	109
124	180	108
125	181	106
126	183	105
127	184	103
128	186	102
129	187	100
130	188	99
131	190	97
132	191	96
133	192	95
134	194	93
135	196	92
136	197	90
137	199	89
138	200	87
139	201	86
140	203	85
141	204	83
142	206	82
143	207	80
144	209	79
145	210	77
146	212	76
147	213	75
148	215	73
149	216	72
150	217	70
151	219	69
152	220	67
153	221	66
154	223	64
155	225	63
156	227	62
157	228	60
158	230	59
159	231	57
160	232	56
161	234	54
162	235	53
163	237	52
164	238	50
165	240	49
166	242	47
167	243	46
168	244	44
169	246	43
170	247	42
171	248	40
172	250	39
173	251	37
174	253	36
175	254	34
176	256	33
177	257	31
178	259	30
179	260	28
180	262	27
181	263	26
182	264	24
183	266	23
184	267	21
185	269	20
186	270	18
187	272	17
188	273	15
189	275	14
190	276	13
191	278	11
192	279	10
193	280	8
194	282	7
195	283	5
196	285	4
197	286	2
198	287	1
199	289	0
